"","id","timestamp","age","country","gender","instrument_xp","instrument_desc","music_xp","music_desc","genres","excerpt","color_position","color","expression"
"1398",69,"2022-10-21 12:54:18",34,"Brazil","male","yes","Piano(7 anos), Violão(20 anos) e Guitarra(15 anos)","no","Eu não tenho experiência com criação de música.","Hardcore, Rock, Rap, HipHop, Sertanejo e Pagode, todos os dias.","02","color_3","green","Tender"
"1399",76,"2022-10-21 13:08:36",69,"Brazil","female","yes","Acordeon","no","Eu não tenho experiência com criação de música.","Rock balada","02","color_3","yellow","Tender"
"1400",82,"2022-10-21 13:20:17",29,"Brazil","female","yes","Violão, apenas aprendi o básico por 6 meses.","no","Eu não tenho experiência com criação de música.","Rock e suas variações, MPB, forró tradicional (pé de Serra, rastapé, etc), pop, funk, brega, músicas festivas pernambucanas (frevo, maracatu, coco, etc).","02","color_3","green","Tender"
"1401",83,"2022-10-21 13:21:55",43,"Brazil","male","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Rock","02","color_3","yellow","Tender"
"1402",86,"2022-10-21 13:32:49",50,"Brazil","female","yes","Eu toquei instrumento de percussão","yes","Eu faço poemas e as vezes coloco melodias neles.so por brincadeira ","Todas que tocam a alma. Do brega ao clássico.","02","color_3","red","Tender"
"1403",88,"2022-10-21 13:37:33",72,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Romântica ","02","color_3","orange","Tender"
"1404",89,"2022-10-21 13:38:55",60,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Gosto de MPB e música para relaxamento. Não tenho uma frequência regular.","02","color_3","cyan","Tender"
"1405",95,"2022-10-21 13:57:02",61,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Brasileira ","02","color_3","blue","Tender"
"1406",98,"2022-10-21 14:04:37",38,"Brazil","female","yes","Teclado","no","Eu não tenho experiência com criação de música.","Diversas, diariamente, mas prefiro versões acústicas e voz e violão.","02","color_3","green","Tender"
"1407",102,"2022-10-21 14:14:57",64,"Brazil","female","yes","Eu não toco instrumentos.Piano 4 anos Violão 6 meses","no","Eu não tenho experiência com criação de música.","Música clássica, MPB, Rock. ","02","color_3","violet","Tender"
"1408",104,"2022-10-21 14:41:51",35,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","R","02","color_3","cyan","Tender"
"1409",105,"2022-10-21 14:42:31",23,"Sweden","male","yes","Piano, 8 years","yes","Electronic genres, mostly Drum ","EDM, IDM, Video game music, hip hop, classical","02","color_3","green","Tender"
"1410",107,"2022-10-21 14:49:33",62,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Todos os tipos.Pagode, samba, sertaneja, MPB, bolero, forró, chorinho, etc...","02","color_3","cyan","Tender"
"1411",111,"2022-10-21 15:01:36",58,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Música popular brasileira, música erudita, músicas religiosas","02","color_3","cyan","Tender"
"1412",116,"2022-10-21 15:34:40",28,"Chile","male","no","I don't play any instrument.","no","I don't have any experience with creating music.","Indie rock, punk, reggaeton, edm, indie, pop","02","color_3","yellow","Tender"
"1413",128,"2022-10-21 16:19:22",46,"Brazil","male","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","Mpb, pop-rock brasil, disco, dance, ","02","color_3","orange","Tender"
"1414",129,"2022-10-21 16:29:15",61,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","MPB","02","color_3","cyan","Tender"
"1415",133,"2022-10-21 16:53:08",39,"Brazil","female","no","Eu não toco instrumentos.","no","Eu não tenho experiência com criação de música.","MPB, pop rock nacional e internacional, eletrônica,samba dentre outras e ouço diariamente, mas nem todo dia os mesmos ritmos.","02","color_3","orange","Tender"
